,time,open,high,low,close,volume
93,2009-08-30,1.67,1.71,1.66,1.69,4252380
94,2009-09-06,1.67,1.71,1.63,1.63,4226960
95,2009-09-13,1.61,1.77,1.56,1.71,6920530
96,2009-09-20,1.7,1.72,1.64,1.66,6550780
97,2009-09-27,1.7,1.82,1.7,1.75,11538110
98,2009-10-04,1.77,1.77,1.6,1.64,7851600
99,2009-10-11,1.66,1.73,1.61,1.72,4672410
100,2009-10-18,1.77,1.88,1.73,1.79,8219380
101,2009-10-25,1.82,2.05,1.78,1.99,9793170
102,2009-11-01,2.04,2.06,1.83,1.88,10069430
103,2009-11-08,1.79,1.81,1.66,1.66,8095300
104,2009-11-15,1.64,1.7,1.5,1.7,6005110
105,2009-11-22,1.68,1.77,1.62,1.71,4136710
106,2009-11-29,1.68,1.7,1.39,1.45,4861150
107,2009-12-06,1.47,1.59,1.47,1.5,4051840
108,2009-12-13,1.5,1.51,1.29,1.29,3095100
109,2009-12-20,1.32,1.38,1.23,1.26,3388540
110,2009-12-27,1.31,1.45,1.29,1.45,3044850
111,2010-01-03,1.42,1.48,1.36,1.43,2711820
112,2010-01-10,1.47,1.7,1.47,1.59,6022670
113,2010-01-17,1.59,1.61,1.44,1.49,3416740
114,2010-01-24,1.48,1.5,1.4,1.43,2462870
115,2010-01-31,1.42,1.53,1.42,1.47,1646480
116,2010-02-07,1.49,1.6,1.49,1.54,3816640
117,2010-02-14,1.53,1.57,1.51,1.57,1537170
118,2010-02-21,,,,,0
119,2010-02-28,1.57,1.57,1.48,1.48,1773100
120,2010-03-07,1.49,1.6,1.49,1.57,2508500
121,2010-03-14,1.6,1.71,1.57,1.68,4145250
122,2010-03-21,1.68,1.7,1.57,1.61,2508770
123,2010-03-28,1.6,1.61,1.54,1.56,1883780
124,2010-04-04,1.57,1.59,1.53,1.59,1992420
125,2010-04-11,1.61,1.67,1.6,1.65,2945180
126,2010-04-18,1.66,1.66,1.62,1.65,2281450
127,2010-04-25,1.66,1.68,1.64,1.67,1920820
128,2010-05-02,1.68,1.79,1.67,1.75,4479630
129,2010-05-09,1.75,1.76,1.65,1.66,2051300
130,2010-05-16,1.66,1.67,1.6,1.61,1720790
131,2010-05-23,1.61,1.61,1.48,1.48,1568020
132,2010-05-30,1.52,1.56,1.45,1.54,1623000
133,2010-06-06,1.54,1.57,1.51,1.54,1191680
134,2010-06-13,1.48,1.54,1.48,1.52,1105880
135,2010-06-20,1.52,1.53,1.5,1.52,1471380
136,2010-06-27,1.52,1.52,1.51,1.51,1096660
137,2010-07-04,1.5,1.52,1.48,1.48,1118060
138,2010-07-11,1.48,1.5,1.41,1.42,1034690
139,2010-07-18,1.42,1.48,1.41,1.43,1258300
140,2010-07-25,1.41,1.43,1.39,1.39,964470
141,2010-08-01,1.37,1.39,1.3,1.31,1872670
142,2010-08-08,1.31,1.36,1.3,1.36,1666650
143,2010-08-15,1.35,1.35,1.18,1.25,2545800
144,2010-08-22,1.25,1.32,1.25,1.32,1372050
145,2010-08-29,1.32,1.32,1.25,1.28,1869100
146,2010-09-05,1.33,1.47,1.32,1.46,2017700
147,2010-09-12,1.47,1.53,1.38,1.38,1671500
148,2010-09-19,1.34,1.46,1.34,1.46,1399050
149,2010-09-26,1.48,1.48,1.4,1.41,1668950
150,2010-10-03,1.42,1.42,1.39,1.41,1212320
151,2010-10-10,1.42,1.46,1.37,1.45,1985090
152,2010-10-17,1.43,1.46,1.4,1.43,1854870
153,2010-10-24,1.43,1.44,1.4,1.43,1418140
154,2010-10-31,1.44,1.46,1.42,1.44,859530
155,2010-11-07,1.44,1.46,1.41,1.46,827500
156,2010-11-14,1.46,1.46,1.34,1.39,962420
157,2010-11-21,1.36,1.4,1.3,1.36,1038560
158,2010-11-28,1.39,1.42,1.35,1.41,1112700
159,2010-12-05,1.38,1.5,1.38,1.48,1723140
160,2010-12-12,1.49,1.49,1.37,1.47,1413980
161,2010-12-19,1.52,1.53,1.47,1.51,2180330
162,2010-12-26,1.49,1.52,1.47,1.5,1666510
163,2011-01-02,1.5,1.5,1.47,1.49,1100780
164,2011-01-09,1.49,1.5,1.42,1.45,580790
165,2011-01-16,1.45,1.45,1.42,1.43,980540
166,2011-01-23,1.45,1.5,1.43,1.48,1659380
167,2011-01-30,1.48,1.49,1.44,1.49,1316730
168,2011-02-06,,,,,0
169,2011-02-13,1.5,1.53,1.47,1.49,1124230
170,2011-02-20,1.49,1.49,1.39,1.4,1430460
171,2011-02-27,1.38,1.38,1.21,1.28,1464820
172,2011-03-06,1.28,1.28,1.11,1.15,1820520
173,2011-03-13,1.19,1.32,1.13,1.32,2019580
174,2011-03-20,1.3,1.35,1.22,1.35,1612060
175,2011-03-27,1.36,1.4,1.33,1.39,2776120
176,2011-04-03,1.39,1.4,1.35,1.35,2387950
177,2011-04-10,1.35,1.38,1.33,1.36,1279620
178,2011-04-17,1.36,1.36,1.35,1.36,742260
179,2011-04-24,1.35,1.36,1.28,1.28,877030
180,2011-05-01,1.31,1.35,1.31,1.32,437870
181,2011-05-08,1.32,1.38,1.32,1.36,615040
182,2011-05-15,1.36,1.36,1.33,1.35,814610
183,2011-05-22,1.35,1.36,1.25,1.25,770690
184,2011-05-29,1.21,1.21,1.05,1.21,1139040
185,2011-06-05,1.21,1.35,1.16,1.33,1396380
186,2011-06-12,1.31,1.35,1.27,1.31,597670
187,2011-06-19,1.29,1.33,1.22,1.22,1034850
188,2011-06-26,1.27,1.27,1.21,1.23,740720
189,2011-07-03,1.23,1.24,1.15,1.16,734310
190,2011-07-10,1.17,1.22,1.13,1.15,807720
191,2011-07-17,1.15,1.16,1.11,1.11,701940
192,2011-07-24,1.11,1.16,1.1,1.11,711310
193,2011-07-31,1.1,1.17,1.1,1.17,727950
194,2011-08-07,1.16,1.16,1.11,1.14,814070
195,2011-08-14,1.14,1.14,1.03,1.03,887220
196,2011-08-21,1.03,1.12,1.03,1.08,654400
197,2011-08-28,1.08,1.12,1.08,1.08,1682790
198,2011-09-04,1.1,1.13,1.08,1.13,1754520
199,2011-09-11,1.13,1.21,1.12,1.18,3100230
200,2011-09-18,1.18,1.19,1.08,1.08,3108360
201,2011-09-25,1.08,1.12,1.07,1.09,1466510
202,2011-10-02,1.09,1.09,1.05,1.06,1670470
203,2011-10-09,1.06,1.07,1.05,1.06,1647270
204,2011-10-16,1.06,1.06,1.03,1.04,1396820
205,2011-10-23,1.04,1.04,1.02,1.02,1050770
206,2011-10-30,1.03,1.05,1.0,1.05,860700
207,2011-11-06,1.07,1.07,0.94,0.94,1158800
208,2011-11-13,0.93,0.93,0.79,0.79,1888310
209,2011-11-20,0.79,0.79,0.72,0.73,2281000
210,2011-11-27,0.73,0.79,0.71,0.77,2309550
211,2011-12-04,0.77,0.79,0.72,0.74,1428590
212,2011-12-11,0.75,0.81,0.74,0.74,2138040
213,2011-12-18,0.74,0.78,0.72,0.77,1840980
214,2011-12-25,0.77,0.77,0.67,0.69,1213220
215,2012-01-01,0.67,0.67,0.62,0.67,1303550
216,2012-01-08,0.65,0.68,0.6,0.6,905940
217,2012-01-15,0.6,0.65,0.59,0.64,1194530
218,2012-01-22,0.64,0.69,0.64,0.68,1099750
219,2012-01-29,,,,,0
220,2012-02-05,0.71,0.82,0.7,0.79,3315910
221,2012-02-12,0.79,0.89,0.77,0.84,2641760
222,2012-02-19,0.82,0.83,0.78,0.81,1518050
223,2012-02-26,0.84,0.95,0.81,0.95,3726230
224,2012-03-04,0.96,1.02,0.93,1.01,4565220
225,2012-03-11,1.03,1.09,0.93,0.98,5861560
226,2012-03-18,0.98,1.02,0.91,0.94,4202450
227,2012-03-25,0.94,1.01,0.92,0.98,3505500
228,2012-04-01,0.99,0.99,0.96,0.98,2782720
229,2012-04-08,0.99,1.02,0.97,0.98,1764780
230,2012-04-15,1.0,1.12,0.98,1.09,7778390
231,2012-04-22,1.09,1.15,1.05,1.06,6358370
232,2012-04-29,1.06,1.12,1.05,1.1,2901850
233,2012-05-06,1.1,1.1,1.05,1.1,1531680
234,2012-05-13,1.1,1.17,1.09,1.15,4633280
235,2012-05-20,1.15,1.15,1.0,1.02,4039850
236,2012-05-27,1.02,1.07,1.01,1.06,2149810
237,2012-06-03,1.06,1.09,1.01,1.02,1186420
238,2012-06-10,0.98,1.05,0.97,1.02,2058230
239,2012-06-17,1.03,1.05,1.0,1.05,1737180
240,2012-06-24,1.04,1.07,1.01,1.03,580690
241,2012-07-01,1.03,1.04,1.01,1.02,476720
242,2012-07-08,1.02,1.03,0.98,0.98,810560
243,2012-07-15,0.98,1.0,0.94,0.99,1074230
244,2012-07-22,0.99,1.01,0.97,0.98,1669010
245,2012-07-29,0.99,1.0,0.97,0.98,1044570
246,2012-08-05,0.95,0.99,0.95,0.97,307430
247,2012-08-12,0.96,0.99,0.96,0.97,411320
248,2012-08-19,0.96,0.98,0.96,0.97,319020
249,2012-08-26,0.97,0.97,0.81,0.87,1536560
250,2012-09-02,0.84,0.92,0.82,0.92,729050
251,2012-09-09,0.92,0.93,0.9,0.91,282610
252,2012-09-16,0.9,0.91,0.82,0.91,915340
253,2012-09-23,0.91,1.0,0.88,0.92,2512570
254,2012-09-30,0.92,0.92,0.82,0.82,1488990
255,2012-10-07,0.85,0.93,0.83,0.92,1247040
256,2012-10-14,0.89,0.94,0.88,0.92,318180
257,2012-10-21,0.91,1.0,0.89,0.98,722320
258,2012-10-28,0.99,1.04,0.96,1.03,794760
259,2012-11-04,1.0,1.03,0.92,0.93,406830
260,2012-11-11,0.9,0.99,0.9,0.98,348550
261,2012-11-18,0.97,1.03,0.95,0.99,316240
262,2012-11-25,0.96,1.01,0.96,0.96,244310
263,2012-12-02,0.96,1.03,0.96,0.97,531990
264,2012-12-09,0.99,1.04,0.97,1.01,1245180
265,2012-12-16,1.02,1.06,1.0,1.02,1006000
266,2012-12-23,1.02,1.1,1.02,1.1,2711870
267,2012-12-30,1.06,1.13,1.05,1.12,1455830
268,2013-01-06,1.12,1.19,1.11,1.17,1831240
269,2013-01-13,1.13,1.29,1.13,1.27,6095880
270,2013-01-20,1.23,1.3,1.19,1.22,4915060
271,2013-01-27,1.2,1.27,1.13,1.26,3682510
272,2013-02-03,1.27,1.39,1.25,1.31,8834280
273,2013-02-10,1.31,1.41,1.27,1.39,6391060
274,2013-02-17,,,,,0
275,2013-02-24,1.39,1.43,1.28,1.32,7610970
276,2013-03-03,1.36,1.36,1.22,1.28,4672490
277,2013-03-10,1.28,1.29,1.14,1.27,4388930
278,2013-03-17,1.27,1.36,1.26,1.34,5442290
279,2013-03-24,1.33,1.37,1.31,1.32,3249230
280,2013-03-31,1.33,1.39,1.33,1.38,2733020
281,2013-04-07,1.38,1.55,1.38,1.53,5184230
282,2013-04-14,1.55,1.56,1.42,1.45,3557640
283,2013-04-21,1.45,1.45,1.37,1.39,2330280
284,2013-04-28,1.38,1.47,1.37,1.46,1612530
285,2013-05-05,1.45,1.53,1.45,1.52,902490
286,2013-05-12,1.52,1.65,1.51,1.63,1958250
287,2013-05-19,1.63,1.64,1.55,1.6,1678130
288,2013-05-26,1.62,1.71,1.6,1.67,3447720
289,2013-06-02,1.68,1.77,1.68,1.74,4626670
290,2013-06-09,1.73,1.73,1.67,1.7,3141450
291,2013-06-16,1.7,1.71,1.62,1.64,4062520
292,2013-06-23,1.6,1.62,1.5,1.5,7503750
293,2013-06-30,1.52,1.54,1.41,1.5,3465570
294,2013-07-07,1.49,1.52,1.46,1.49,1716280
295,2013-07-14,1.49,1.53,1.45,1.53,1787170
296,2013-07-21,1.58,1.63,1.55,1.63,2919880
297,2013-07-28,1.65,1.68,1.6,1.61,3497740
298,2013-08-04,1.6,1.63,1.56,1.62,1328560
299,2013-08-11,1.61,1.7,1.61,1.66,1850000
300,2013-08-18,1.66,1.74,1.65,1.73,1967860
301,2013-08-25,1.73,1.76,1.67,1.7,3542780
302,2013-09-01,1.7,1.71,1.61,1.66,2116770
303,2013-09-08,1.69,1.73,1.63,1.73,1016440
304,2013-09-15,1.73,1.83,1.68,1.8,2195990
305,2013-09-22,1.81,1.82,1.78,1.81,1907940
306,2013-09-29,1.81,1.93,1.8,1.92,3579300
307,2013-10-06,1.92,1.95,1.88,1.93,3221020
308,2013-10-13,1.93,2.01,1.92,1.97,3453630
309,2013-10-20,1.97,2.0,1.97,1.98,1552890
310,2013-10-27,1.98,2.04,1.98,2.02,2533170
311,2013-11-03,2.02,2.06,1.97,2.04,1789460
312,2013-11-10,2.04,2.1,2.03,2.09,1315740
313,2013-11-17,2.1,2.19,2.07,2.17,1646300
314,2013-11-24,2.18,2.2,2.15,2.17,1878560
315,2013-12-01,2.17,2.24,2.17,2.21,1563390
316,2013-12-08,2.22,2.23,2.18,2.19,892220
317,2013-12-15,2.17,2.18,2.09,2.09,1738690
318,2013-12-22,2.09,2.2,2.09,2.14,3208650
319,2013-12-29,2.14,2.27,2.14,2.25,2936460
320,2014-01-05,2.25,2.29,2.25,2.29,1615330
321,2014-01-12,2.31,2.42,2.28,2.37,1990240
322,2014-01-19,2.38,2.77,2.37,2.77,3496370
323,2014-01-26,2.83,2.97,2.53,2.55,4473210
324,2014-02-02,2.53,2.55,2.48,2.51,694630
325,2014-02-09,2.48,2.69,2.48,2.62,1422160
