,time,open,high,low,close,volume
42,2011-05-22,5.17,5.17,5.03,5.03,49700
43,2011-05-29,5.22,5.22,4.62,4.84,47410
44,2011-06-05,4.86,4.94,4.84,4.88,29690
45,2011-06-12,4.84,5.03,4.82,4.86,27200
46,2011-06-19,4.86,4.92,4.73,4.73,47060
47,2011-06-26,4.73,4.73,4.63,4.65,35400
48,2011-07-03,4.65,4.65,4.62,4.65,35700
49,2011-07-10,4.65,4.65,4.62,4.65,38910
50,2011-07-17,4.65,4.65,4.62,4.65,33000
51,2011-07-24,4.65,4.65,4.56,4.63,37720
52,2011-07-31,4.65,4.65,4.62,4.65,28000
53,2011-08-07,4.65,4.65,4.56,4.65,35050
54,2011-08-14,4.65,4.71,4.44,4.69,33250
55,2011-08-21,4.69,4.75,4.56,4.75,15100
56,2011-08-28,4.71,4.77,4.6,4.69,23910
57,2011-09-04,4.67,4.71,4.65,4.71,17670
58,2011-09-11,4.71,4.81,4.69,4.81,21280
59,2011-09-18,4.81,4.98,4.75,4.77,17090
60,2011-09-25,4.73,4.9,4.54,4.75,27070
61,2011-10-02,4.75,4.79,4.48,4.75,66890
62,2011-10-09,4.75,4.75,4.52,4.69,50670
63,2011-10-16,4.69,4.75,4.33,4.46,61430
64,2011-10-23,4.46,4.48,4.18,4.37,111690
65,2011-10-30,4.37,4.37,4.1,4.31,277450
66,2011-11-06,4.31,4.5,3.84,4.18,262640
67,2011-11-13,4.16,4.18,3.78,3.93,161230
68,2011-11-20,3.89,3.89,3.63,3.78,162660
69,2011-11-27,3.78,3.78,3.4,3.57,136500
70,2011-12-04,3.57,3.7,3.25,3.49,91950
71,2011-12-11,3.48,3.59,3.08,3.11,100110
72,2011-12-18,3.11,3.19,2.75,2.93,147200
73,2011-12-25,2.93,3.13,2.81,3.13,51520
74,2012-01-01,3.13,3.61,3.08,3.57,48440
75,2012-01-08,3.72,3.72,3.1,3.23,25680
76,2012-01-15,3.23,3.29,2.94,3.08,37330
77,2012-01-22,3.08,3.1,2.98,3.1,18590
78,2012-01-29,,,,,0
79,2012-02-05,3.1,3.19,2.93,3.1,52640
80,2012-02-12,3.1,3.19,2.96,3.04,41620
81,2012-02-19,3.04,3.04,2.93,2.98,20830
82,2012-02-26,2.98,3.0,2.91,2.94,25110
83,2012-03-04,2.94,2.96,2.79,2.96,47800
84,2012-03-11,2.96,3.15,2.93,3.06,49350
85,2012-03-18,2.94,3.06,2.66,2.87,37360
86,2012-03-25,2.87,2.87,2.64,2.66,51700
87,2012-04-01,2.72,2.77,2.55,2.6,34950
88,2012-04-08,2.66,2.81,2.51,2.81,8150
89,2012-04-15,2.75,2.94,2.64,2.94,24260
90,2012-04-22,3.06,3.06,2.72,2.91,24790
91,2012-04-29,2.81,2.85,2.7,2.7,40110
92,2012-05-06,2.56,2.77,2.56,2.75,7320
93,2012-05-13,2.89,2.94,2.74,2.85,30630
94,2012-05-20,2.83,2.93,2.72,2.77,9880
95,2012-05-27,2.85,2.89,2.7,2.85,2100
96,2012-06-03,2.83,2.85,2.58,2.58,1350
97,2012-06-10,2.47,2.56,2.37,2.49,7050
98,2012-06-17,2.43,2.6,2.43,2.56,1190
99,2012-06-24,2.45,2.62,2.45,2.53,330
100,2012-07-01,2.41,2.47,2.41,2.47,200
101,2012-07-08,2.55,2.55,2.47,2.47,30
102,2012-07-15,2.53,2.58,2.53,2.55,40
103,2012-07-22,2.55,2.55,2.51,2.55,110
104,2012-07-29,2.55,2.6,2.43,2.6,130
105,2012-08-05,2.49,2.58,2.49,2.58,220
106,2012-08-12,2.53,2.58,2.45,2.47,1120
107,2012-08-19,2.47,2.47,2.36,2.36,2290
108,2012-08-26,2.47,2.47,2.05,2.15,2340
109,2012-09-02,2.18,2.37,2.18,2.37,340
110,2012-09-09,2.37,2.39,2.37,2.39,310
111,2012-09-16,2.41,2.49,2.41,2.49,120
112,2012-09-23,2.49,2.49,2.49,2.49,0
113,2012-09-30,2.49,2.49,2.49,2.49,0
114,2012-10-07,2.49,2.49,2.17,2.17,3650
115,2012-10-14,2.26,2.26,1.98,2.13,2650
116,2012-10-21,2.2,2.53,2.18,2.2,3220
117,2012-10-28,2.3,2.43,2.09,2.39,4010
118,2012-11-04,2.41,2.45,2.34,2.43,1120
119,2012-11-11,2.43,2.43,2.22,2.3,1060
120,2012-11-18,2.37,2.45,2.34,2.37,40
121,2012-11-25,2.37,2.41,2.37,2.41,180
122,2012-12-02,2.37,2.58,2.37,2.58,1240
123,2012-12-09,2.62,2.62,2.17,2.17,300
124,2012-12-16,2.07,2.28,2.07,2.2,6350
125,2012-12-23,2.24,2.66,2.24,2.66,54330
126,2012-12-30,2.79,3.32,2.79,3.32,50440
127,2013-01-06,3.42,3.42,3.34,3.42,40
128,2013-01-13,3.55,3.7,3.53,3.53,3180
129,2013-01-20,3.36,3.67,3.36,3.67,7130
130,2013-01-27,3.67,3.76,3.67,3.76,10
131,2013-02-03,3.76,3.76,3.51,3.61,110
132,2013-02-10,3.61,3.86,3.61,3.86,120
133,2013-02-17,,,,,0
134,2013-02-24,3.86,3.86,3.57,3.57,860
135,2013-03-03,3.57,3.61,3.57,3.59,200
136,2013-03-10,3.76,3.76,3.74,3.74,200
137,2013-03-17,3.74,3.74,3.67,3.67,2130
138,2013-03-24,3.67,3.67,3.67,3.67,1000
139,2013-03-31,3.67,3.67,3.19,3.19,150
140,2013-04-07,3.19,3.19,2.72,2.72,4050
141,2013-04-14,2.66,2.75,2.36,2.37,5950
142,2013-04-21,2.37,2.56,2.37,2.56,7180
143,2013-04-28,2.55,2.74,2.09,2.15,35520
144,2013-05-05,2.01,2.15,1.88,2.09,51190
145,2013-05-12,2.15,2.26,1.8,2.01,63270
