,time,open,high,low,close,volume
57,2010-08-08,6.26,6.29,6.12,6.21,358090
58,2010-08-15,6.12,6.22,5.62,5.77,628860
59,2010-08-22,5.81,6.19,5.77,6.19,602700
60,2010-08-29,6.14,6.21,5.87,6.14,881340
61,2010-09-05,6.21,6.41,6.19,6.41,776680
62,2010-09-12,6.47,6.47,6.17,6.17,787490
63,2010-09-19,6.29,6.32,6.11,6.27,738410
64,2010-09-26,6.14,6.27,5.94,6.09,815620
65,2010-10-03,6.06,6.11,5.97,6.01,620670
66,2010-10-10,6.07,6.14,5.97,6.09,1245180
67,2010-10-17,6.01,6.09,5.99,6.07,546100
68,2010-10-24,5.99,6.02,5.77,5.81,712010
69,2010-10-31,5.67,5.84,5.67,5.81,509500
70,2010-11-07,5.84,5.84,5.64,5.74,634450
71,2010-11-14,5.67,5.67,5.19,5.41,888520
72,2010-11-21,5.42,5.42,5.06,5.17,567890
73,2010-11-28,5.01,5.62,5.01,5.49,804800
74,2010-12-05,5.49,5.81,5.44,5.54,1198880
75,2010-12-12,5.59,5.61,5.19,5.46,1215740
76,2010-12-19,5.71,6.56,5.64,6.56,7044640
77,2010-12-26,6.56,6.68,5.97,5.97,2700880
78,2011-01-02,6.07,6.58,5.89,6.58,2252010
79,2011-01-09,6.58,6.58,6.07,6.21,968440
80,2011-01-16,6.19,6.45,6.13,6.45,1157390
81,2011-01-23,6.43,6.68,6.27,6.68,2154400
82,2011-01-30,7.0,7.3,6.78,7.3,3853540
83,2011-02-06,,,,,0
84,2011-02-13,7.37,8.03,7.3,7.53,3628240
85,2011-02-20,7.59,7.59,6.96,7.08,2649010
86,2011-02-27,6.88,6.88,6.33,6.52,2300140
87,2011-03-06,6.54,6.74,6.23,6.35,1589060
88,2011-03-13,6.31,6.68,6.31,6.45,2205550
89,2011-03-20,6.54,6.54,6.03,6.37,4006870
90,2011-03-27,6.66,6.68,6.21,6.27,3894830
91,2011-04-03,6.27,6.45,6.17,6.21,2563010
92,2011-04-10,6.15,6.33,6.09,6.17,1690290
93,2011-04-17,6.17,6.17,5.95,5.95,1509490
94,2011-04-24,5.79,5.95,5.71,5.71,1805120
95,2011-05-01,5.85,5.85,5.67,5.75,1164570
96,2011-05-08,5.77,5.83,5.67,5.83,590580
97,2011-05-15,5.83,5.83,5.67,5.69,826350
98,2011-05-22,5.97,6.56,5.89,6.07,4193450
99,2011-05-29,5.79,6.07,5.0,5.75,2793390
100,2011-06-05,5.79,6.27,5.28,5.89,2521950
101,2011-06-12,5.69,6.19,5.69,5.95,1521080
102,2011-06-19,5.95,6.07,5.58,5.58,1479570
103,2011-06-26,5.58,5.91,5.58,5.58,965770
104,2011-07-03,5.71,5.71,5.58,5.65,630010
105,2011-07-10,5.71,5.77,5.58,5.65,864710
106,2011-07-17,5.65,5.99,5.65,5.79,1672980
107,2011-07-24,5.82,6.5,5.82,6.35,1929360
108,2011-07-31,6.25,6.53,6.16,6.37,2005630
109,2011-08-07,6.37,6.44,6.07,6.16,1664660
110,2011-08-14,6.14,6.16,5.89,6.1,1208450
111,2011-08-21,6.1,6.3,6.01,6.19,1441610
112,2011-08-28,6.23,6.25,6.07,6.1,1304410
113,2011-09-04,6.12,6.53,6.07,6.53,3123790
114,2011-09-11,6.69,6.69,6.32,6.35,2395530
115,2011-09-18,6.28,6.35,5.98,5.98,1846930
116,2011-09-25,6.03,6.21,6.01,6.01,1112030
117,2011-10-02,6.03,6.35,5.96,6.19,2007200
118,2011-10-09,6.19,6.19,6.01,6.01,1759440
119,2011-10-16,6.05,6.05,5.8,5.96,1443970
120,2011-10-23,5.96,6.03,5.78,6.03,1401090
121,2011-10-30,6.03,6.03,5.94,6.01,916990
122,2011-11-06,6.05,6.07,5.76,5.76,762870
123,2011-11-13,5.69,5.76,5.17,5.28,1427830
124,2011-11-20,5.23,5.53,5.12,5.48,2086160
125,2011-11-27,5.42,5.48,5.35,5.35,1026380
126,2011-12-04,5.33,5.44,4.99,5.1,1577330
127,2011-12-11,5.1,5.17,4.76,4.78,1631260
128,2011-12-18,4.74,4.78,4.49,4.76,2301340
129,2011-12-25,4.76,5.01,4.51,4.62,2183590
130,2012-01-01,4.62,4.94,4.4,4.94,1832140
131,2012-01-08,4.89,4.89,4.46,4.49,847220
132,2012-01-15,4.49,4.85,4.49,4.78,2567960
133,2012-01-22,4.83,5.28,4.8,5.23,2328470
134,2012-01-29,,,,,0
135,2012-02-05,5.21,5.89,5.21,5.55,3978890
136,2012-02-12,5.55,5.89,5.44,5.57,3043280
137,2012-02-19,5.46,5.82,5.44,5.78,2631730
138,2012-02-26,5.87,6.77,5.87,6.65,4426920
139,2012-03-04,6.62,6.96,6.39,6.86,4408330
140,2012-03-11,6.98,7.5,6.36,6.6,5780190
141,2012-03-18,6.46,6.74,6.34,6.39,3648430
142,2012-03-25,6.46,7.22,6.46,7.0,6630850
143,2012-04-01,7.0,7.05,6.65,6.86,3313770
144,2012-04-08,6.81,6.96,6.81,6.81,1136160
145,2012-04-15,6.86,7.43,6.77,7.38,4166670
146,2012-04-22,7.43,8.28,7.38,7.78,4762030
147,2012-04-29,7.76,7.9,7.64,7.81,2703830
148,2012-05-06,7.85,8.0,7.67,7.83,1191550
149,2012-05-13,7.97,8.75,7.88,8.59,5483920
150,2012-05-20,8.64,9.01,7.31,7.57,6867650
151,2012-05-27,7.69,7.85,6.86,7.24,3687440
152,2012-06-03,7.31,7.45,6.93,7.0,2243830
153,2012-06-10,6.88,7.26,6.6,7.12,3559290
154,2012-06-17,7.07,7.22,6.86,7.07,3810920
155,2012-06-24,7.22,7.22,6.93,7.0,2017400
156,2012-07-01,6.96,7.07,6.81,6.98,2374130
157,2012-07-08,6.91,7.07,6.62,6.74,1560450
158,2012-07-15,6.67,6.84,6.58,6.77,1504520
159,2012-07-22,6.81,7.03,6.65,6.79,1904110
160,2012-07-29,6.7,6.81,6.62,6.67,894830
161,2012-08-05,6.53,6.74,6.48,6.51,1052260
162,2012-08-12,6.48,6.67,6.48,6.58,1066010
163,2012-08-19,6.58,6.72,6.55,6.62,1123860
164,2012-08-26,6.6,6.79,5.65,6.17,4269840
165,2012-09-02,5.94,6.1,5.75,5.87,2233360
166,2012-09-09,5.87,6.06,5.87,6.01,1338350
167,2012-09-16,5.91,6.2,5.65,6.17,2698470
168,2012-09-23,6.17,6.48,5.77,6.03,4528190
169,2012-09-30,5.99,6.08,5.82,5.82,1654820
170,2012-10-07,5.82,5.84,5.63,5.8,1285380
171,2012-10-14,5.8,5.91,5.75,5.77,1137490
172,2012-10-21,5.75,5.82,5.56,5.65,1689860
173,2012-10-28,5.7,5.77,5.63,5.65,620290
174,2012-11-04,5.61,5.65,5.2,5.2,1212060
175,2012-11-11,5.11,5.56,4.97,5.56,1805390
176,2012-11-18,5.49,5.75,5.42,5.63,1388080
177,2012-11-25,5.63,5.65,5.46,5.46,479240
178,2012-12-02,5.44,5.68,5.37,5.51,829720
179,2012-12-09,5.49,6.01,5.49,5.84,1670060
180,2012-12-16,5.82,6.13,5.77,5.91,1410610
181,2012-12-23,5.96,6.41,5.96,6.15,3644380
182,2012-12-30,6.15,6.46,6.06,6.43,1939520
183,2013-01-06,6.43,6.98,6.39,6.91,1170380
184,2013-01-13,6.62,7.78,6.62,7.59,5009660
185,2013-01-20,7.45,7.78,7.29,7.48,2001470
186,2013-01-27,7.29,7.69,7.03,7.69,1622020
187,2013-02-03,7.69,8.14,7.67,8.11,2891240
188,2013-02-10,8.11,8.21,7.85,8.16,1841300
