,time,open,high,low,close,volume
53,2019-05-05,19.52,19.85,19.52,19.55,4250
54,2019-05-12,19.29,19.52,18.24,18.24,72990
55,2019-05-19,18.24,18.99,17.86,18.5,42720
56,2019-05-26,18.5,19.67,18.5,19.14,105630
57,2019-06-02,19.55,19.7,18.61,19.03,288160
58,2019-06-09,18.8,19.33,18.39,18.8,149260
59,2019-06-16,18.8,20.8,18.61,20.38,833110
60,2019-06-23,20.38,22.56,19.73,22.22,521400
61,2019-06-30,22.25,24.47,21.76,24.47,641530
62,2019-07-07,24.47,24.47,21.6,22.29,256070
63,2019-07-14,22.9,22.9,20.72,21.3,205990
64,2019-07-21,21.41,21.41,20.38,21.03,109820
65,2019-07-28,21.37,21.8,21.03,21.03,213340
66,2019-08-04,21.41,22.34,20.67,21.99,251670
67,2019-08-11,21.9,23.17,21.85,22.86,430460
68,2019-08-18,22.86,22.86,21.15,21.81,338870
69,2019-08-25,21.81,22.21,21.02,21.11,171370
70,2019-09-01,20.8,20.8,19.11,19.35,269720
71,2019-09-08,19.35,20.09,17.59,18.12,265040
72,2019-09-15,18.29,20.23,18.18,20.23,513820
73,2019-09-22,20.67,21.15,20.23,20.84,373910
74,2019-09-29,20.84,21.11,19.92,20.18,201360
75,2019-10-06,20.42,20.45,19.24,19.35,188090
76,2019-10-13,19.39,19.48,18.86,18.89,149460
77,2019-10-20,18.91,19.57,18.69,19.35,198560
78,2019-10-27,19.35,19.83,18.73,18.95,133540
79,2019-11-03,19.0,19.08,16.93,17.76,316350
80,2019-11-10,17.24,18.42,17.24,17.68,340370
81,2019-11-17,17.68,18.2,16.27,16.27,284980
82,2019-11-24,16.27,16.27,13.54,13.54,476610
83,2019-12-01,13.54,13.54,11.76,11.83,916940
84,2019-12-08,11.87,12.27,11.7,12.05,313660
85,2019-12-15,12.22,12.69,11.89,11.89,426230
86,2019-12-22,11.89,12.09,11.65,11.7,333730
87,2019-12-29,11.7,11.7,9.89,9.94,475300
88,2020-01-05,9.94,10.22,9.26,9.98,298150
89,2020-01-12,9.98,9.98,8.57,8.66,593460
90,2020-01-19,8.71,8.86,7.83,8.09,930080
91,2020-01-26,8.2,8.27,7.98,8.05,708510
92,2020-02-02,7.91,7.91,7.5,7.54,950940
93,2020-02-09,7.52,8.64,7.12,8.31,1820430
94,2020-02-16,7.91,8.93,7.74,8.51,1565650
95,2020-02-23,8.46,9.41,8.22,9.41,1993500
96,2020-03-01,9.41,10.27,9.06,9.26,3199110
97,2020-03-08,8.93,9.3,8.35,9.28,2807160
98,2020-03-15,8.75,8.93,6.75,6.86,2417860
99,2020-03-22,6.95,6.95,6.2,6.24,1163640
100,2020-03-29,5.87,6.16,4.9,4.9,1608780
101,2020-04-05,4.7,5.58,4.57,5.58,1009950
102,2020-04-12,5.96,6.99,5.96,6.6,3016430
103,2020-04-19,6.6,7.76,6.24,7.76,2451310
104,2020-04-26,8.29,10.16,7.72,10.16,6122480
105,2020-05-03,10.86,10.86,8.71,9.34,3501870
106,2020-05-10,8.88,9.32,8.35,9.01,3373050
107,2020-05-17,8.99,10.22,8.82,9.5,5975450
