time,open,high,low,close,volume,FINANCIAL_PRODUCT,MARKET_PERCEPTION,LEADERSHIP,DIGITAL_BANKING,MACRO_REGULATION,SERVICE,FINANCIAL_FEE
2023-05-17,52.03,52.31,51.92,52.2,572700,0.9273,0.2667,0.5143,1.0,0.8222,1.0,0.0
2023-05-18,52.26,54.0,51.86,53.44,1678500,0.9273,0.2667,0.5143,1.0,0.8222,1.0,0.0
2023-05-19,53.16,53.38,52.09,52.99,439900,0.9273,0.2667,0.5143,1.0,0.8222,1.0,0.0
2023-05-22,52.31,52.82,51.86,52.37,622300,0.9273,0.2667,0.5143,1.0,0.8222,1.0,0.0
2023-05-23,52.31,52.65,51.81,52.2,568800,0.9273,0.2667,0.5143,1.0,0.8222,1.0,0.0
2023-05-24,52.2,52.2,51.69,52.09,342200,0.9273,0.2667,0.619,1.0,0.8222,1.0,0.0
2023-05-25,52.09,52.88,51.41,52.43,606600,0.9273,0.2667,0.619,1.0,0.8222,1.0,0.0
2023-05-26,52.43,52.59,51.75,51.75,283700,0.9273,0.2667,0.619,1.0,0.8222,1.0,0.0
2023-05-29,51.75,53.44,51.75,52.37,590500,0.9273,0.2667,0.619,1.0,0.8222,1.0,0.0
2023-05-30,52.37,53.33,51.98,53.16,564500,0.9273,0.2667,0.619,1.0,0.8222,1.0,0.0
2023-05-31,52.82,52.93,52.37,52.88,380100,0.9455,0.2667,0.7143,1.0,0.8311,1.0,0.0
2023-06-01,53.21,53.21,52.43,52.82,646300,0.9455,0.2667,0.7143,1.0,0.8311,1.0,0.0
2023-06-02,52.82,53.44,52.48,53.38,737800,0.7697,0.2667,0.7143,1.0,0.8874,1.0,0.0
2023-06-05,53.55,55.52,53.55,55.13,1297800,0.8002,0.6333,0.7714,1.0,0.9156,1.0,0.0
2023-06-06,55.13,55.69,54.28,55.69,759500,0.7136,0.7556,0.7436,1.0,0.8524,1.0,0.0
2023-06-07,55.69,55.69,54.56,54.56,749600,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-08,54.56,57.21,54.56,56.25,1339400,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-09,56.25,57.38,55.69,56.53,820200,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-12,56.19,57.09,55.18,56.81,435100,0.6563,0.7556,0.9536,1.0,0.86,1.0,0.0
2023-06-13,56.25,57.94,56.08,57.66,838900,0.6563,0.7556,0.9536,1.0,0.86,1.0,0.0
2023-06-14,57.6,58.5,57.09,57.71,840500,0.6563,0.7556,0.9536,1.0,0.86,1.0,0.0
2023-06-15,57.66,58.33,57.15,58.22,912200,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-16,58.61,59.85,58.05,59.06,1331800,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-19,58.28,58.56,57.21,57.21,1139900,0.6563,0.7556,0.7652,1.0,0.86,1.0,0.0
2023-06-20,56.87,56.87,56.14,56.19,1781600,0.7136,0.7556,0.7652,1.0,0.86,1.0,1.0
2023-06-21,56.08,56.53,56.08,56.25,1187900,0.7545,0.7556,0.8122,1.0,0.86,1.0,1.0
2023-06-22,57.38,57.38,56.19,56.48,716500,0.7545,0.7556,0.8122,1.0,0.86,1.0,1.0
2023-06-23,56.48,56.48,55.97,56.19,705200,0.7499,1.0,0.8122,1.0,0.86,1.0,1.0
2023-06-26,55.74,56.76,55.74,56.25,807200,0.7499,1.0,0.8122,1.0,0.86,1.0,1.0
2023-06-27,56.25,56.81,56.08,56.25,685900,0.7499,1.0,0.8122,1.0,0.86,1.0,1.0
2023-06-28,56.25,57.49,56.14,56.87,821200,0.7499,1.0,0.8122,1.0,0.86,1.0,1.0
2023-06-29,57.26,57.94,56.87,57.32,640600,0.7499,1.0,0.8122,1.0,0.86,1.0,1.0
2023-06-30,56.87,57.26,56.25,56.25,556600,0.6714,1.0,0.8122,1.0,0.86,1.0,1.0
2023-07-03,56.25,56.7,56.14,56.25,490100,0.6714,1.0,0.8122,1.0,0.86,1.0,1.0
2023-07-04,56.64,57.32,56.19,56.25,682700,0.7058,1.0,0.8435,1.0,0.7813,0.6,1.0
2023-07-05,56.81,57.66,56.42,57.38,953900,0.7385,1.0,0.8435,1.0,0.7813,0.6,1.0
2023-07-06,57.43,57.49,56.53,56.64,1021000,0.7385,1.0,0.8435,1.0,0.7813,0.6,1.0
2023-07-07,56.53,59.06,56.48,59.06,1064800,0.7646,0.8743,0.8658,1.0,0.7606,0.6,1.0
2023-07-10,59.01,59.01,57.54,57.77,915100,0.7133,0.8743,0.8658,1.0,0.6805,0.4667,0.6667
2023-07-11,57.26,59.06,57.26,57.94,887600,0.7133,0.8743,0.8658,1.0,0.6805,0.4667,0.6667
2023-07-12,57.77,58.78,57.77,58.5,742800,0.6846,0.9057,0.8087,1.0,0.654,0.4667,0.6667
2023-07-13,59.06,59.06,58.33,59.01,928300,0.6846,0.9057,0.8087,1.0,0.654,0.4667,0.6667
2023-07-14,59.01,59.06,58.5,59.06,797700,0.7533,0.9057,0.8087,1.0,0.5848,0.4667,0.6667
2023-07-17,59.06,59.06,58.61,58.95,791600,0.7283,0.8743,0.7768,1.0,0.481,0.4667,0.6667
2023-07-18,59.01,59.06,58.67,58.67,590000,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-19,58.84,60.24,58.84,59.91,926200,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-20,59.34,59.85,58.28,59.06,771600,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-21,59.06,59.06,58.5,59.06,663400,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-24,59.12,59.29,58.78,58.84,808500,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-25,60.03,61.43,59.97,60.9,2374800,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-26,61.03,62.03,61.03,62.03,1146400,0.7638,0.8114,0.76,1.0,0.4413,0.2,0.6667
2023-07-27,62.22,62.22,61.43,61.56,957200,0.7638,0.8114,0.9,1.0,0.4413,0.2,0.6667
2023-07-28,61.56,61.76,60.96,61.76,1116900,0.7161,0.8114,0.9,1.0,0.4413,0.2,0.6667
2023-07-31,61.76,61.89,60.83,60.83,1468300,0.7161,0.8114,0.9,1.0,0.4413,0.2,0.6667
2023-08-01,60.83,61.63,60.56,60.56,1281600,0.6755,0.8114,0.9,1.0,0.4413,0.2,0.3333
2023-08-02,60.56,60.76,60.43,60.76,1055800,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-03,60.76,60.76,60.1,60.17,837900,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-04,60.23,60.5,59.83,59.83,1231600,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-07,59.83,60.3,59.77,60.3,1111700,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-08,60.3,60.56,59.83,60.23,823400,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-09,60.23,60.37,59.83,59.9,591600,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-10,60.1,60.1,58.77,58.77,1336100,0.6214,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-11,58.77,60.03,58.77,60.03,920800,0.7057,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-14,59.97,59.97,59.1,59.1,1471800,0.7057,0.8114,0.8667,1.0,0.4413,0.2,0.3333
2023-08-15,59.77,59.77,58.77,59.04,1148500,0.6455,0.8114,0.8,1.0,0.4286,0.2,0.3333
2023-08-16,58.97,59.37,58.9,59.24,727300,0.4543,0.8114,0.76,1.0,0.3524,0.2,0.3333
2023-08-17,59.24,59.63,58.84,59.37,2145100,0.5634,0.8114,0.82,1.0,0.3524,0.2,0.3333
2023-08-18,59.63,59.97,59.1,59.44,2430400,0.4543,1.0,0.76,1.0,0.2,0.2,0.3333
2023-08-21,59.57,59.9,59.24,59.63,1710900,0.539,1.0,0.76,1.0,0.2,0.0,0.0
2023-08-22,59.44,59.57,58.31,58.7,1825000,0.539,1.0,0.76,1.0,0.2,0.0,0.0
2023-08-23,59.04,59.04,57.18,57.31,1754800,0.539,0.0,0.84,1.0,0.2,0.0,0.0
2023-08-24,57.31,58.57,57.11,57.78,902800,0.539,0.0,0.84,1.0,0.2,0.0,0.0
2023-08-25,57.24,57.78,57.11,57.24,1404600,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-08-28,57.38,58.11,57.24,57.78,1378300,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-08-29,57.78,58.77,57.71,58.7,1391900,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-08-30,58.77,59.44,58.77,59.17,1350000,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-08-31,59.17,59.5,58.64,59.17,1531200,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-09-05,59.17,60.23,59.17,59.83,1942200,0.539,0.0,0.84,1.0,0.2,-1.0,0.0
2023-09-06,59.9,59.9,59.57,59.9,2017600,0.6543,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-07,59.77,60.3,59.44,59.44,1765300,0.6543,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-08,59.44,59.44,59.17,59.44,1341900,0.6543,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-11,59.5,59.77,58.44,58.77,1649500,0.5634,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-12,59.1,59.77,59.04,59.7,1572100,0.6088,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-13,59.77,59.77,59.04,59.17,1582000,0.6088,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-14,59.1,59.44,58.51,59.17,1512600,0.6088,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-15,59.04,59.63,58.84,59.63,2142400,0.6088,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-18,59.44,59.57,58.64,58.97,718100,0.6088,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-19,58.97,59.24,57.11,58.51,1117200,0.6871,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-20,58.51,58.7,57.38,58.44,786000,0.6871,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-21,58.44,58.44,57.64,57.78,1066900,0.6871,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-22,57.38,59.44,57.11,59.3,2408600,0.6871,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-25,59.1,59.44,58.64,59.3,2210400,0.6871,0.0,0.8933,1.0,0.2,-1.0,0.0
2023-09-26,59.24,59.37,57.71,57.78,1663200,0.6871,0.0,0.72,1.0,0.2,-1.0,0.0
2023-09-27,58.17,59.1,57.78,58.31,1204900,0.6871,0.0,0.72,1.0,0.2,-1.0,0.0
2023-09-28,57.91,58.64,57.51,58.44,1065100,0.6871,0.0,0.72,1.0,0.2,-1.0,0.0
2023-09-29,58.64,58.64,57.84,58.11,449300,0.8,0.0,0.7333,1.0,0.0,-1.0,0.0
2023-10-02,57.84,57.91,57.44,57.44,765700,0.7333,0.0,0.6,1.0,0.0,-1.0,0.0
2023-10-03,57.44,57.58,56.98,57.31,882600,0.7333,0.0,0.7333,1.0,0.0,-1.0,0.0
2023-10-04,57.31,57.31,56.65,57.31,923800,0.7333,0.0,0.7333,1.0,0.0,-1.0,0.0
2023-10-05,57.11,57.11,56.12,56.12,890000,0.8,0.7714,0.7333,1.0,0.0,0.0,0.0
2023-10-06,56.12,56.71,55.45,56.71,800900,0.8,0.7714,0.7333,1.0,0.0,0.0,0.0
2023-10-09,56.71,56.71,55.78,56.18,1096100,0.8,0.7714,0.7333,1.0,0.0,0.0,0.0
2023-10-10,56.18,57.24,56.18,57.18,734100,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-11,57.24,57.44,56.91,57.44,719400,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-12,57.71,57.71,56.78,57.11,714100,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-13,57.11,57.51,56.78,57.51,663100,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-16,56.85,57.51,56.85,57.18,332300,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-17,57.18,57.44,56.78,57.04,363400,0.8,0.7714,0.7333,1.0,0.0,1.0,0.0
2023-10-18,56.78,57.11,56.45,57.04,1147400,0.7333,0.7714,0.6,1.0,0.0,1.0,0.0
2023-10-19,56.78,57.11,55.85,56.12,1363600,0.7333,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-20,55.45,56.65,54.92,56.31,938400,0.7333,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-23,56.12,56.12,54.79,56.12,966600,1.0,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-24,56.12,57.44,55.72,57.11,994000,1.0,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-25,56.51,56.98,56.18,56.98,660100,1.0,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-26,56.45,57.11,55.45,56.12,1420300,1.0,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-27,56.18,56.45,55.65,56.45,773400,1.0,0.7714,0.4667,1.0,0.0,1.0,0.0
2023-10-30,55.45,57.11,55.45,57.04,592900,0.7796,0.7714,0.6,1.0,0.52,1.0,0.0
2023-10-31,57.04,57.71,56.38,57.64,1345300,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-01,57.64,58.31,57.18,58.31,1479100,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-02,58.44,59.1,57.51,59.1,1057500,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-03,59.1,59.37,58.51,59.04,1086600,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-06,59.04,59.63,58.77,59.44,774800,0.6694,0.7714,0.52,1.0,0.52,1.0,0.0
2023-11-07,59.1,59.3,58.64,58.64,413900,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-08,58.44,59.57,58.37,59.44,1270300,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-09,59.44,59.44,58.37,58.37,1166800,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-10,57.84,58.11,57.11,57.11,1352000,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-13,57.11,57.18,56.71,56.78,937700,0.6694,0.7714,0.6,1.0,0.52,1.0,0.0
2023-11-14,57.11,57.44,56.71,57.11,987500,0.6694,0.7714,0.4667,1.0,0.52,1.0,0.0
